City,Name,Michelin_Award,Green_Star,Repsol_Award,Worlds_50_Best_Rank,Steak_101_Rank,Notable_Wine_List,Cuisine,Price,Price_Tier,Address,Phone,Latitude,Longitude,Michelin_Url,Website,Sources,Description,Avg_Price_EUR,Price_Detail,Price_Source,Maps_Url
Porto,OMA,Bib Gourmand,,,,,,Contemporary,A moderate spend,2,"Rua De Oliveira Monteiro, 183, Porto, 4050-442, Portugal",+351 912 000 099,,,https://guide.michelin.com/en/porto-region/porto/restaurant/oma-1203846,https://omarestaurante.pt/,Michelin,"This establishment is run by Chef Luís Moreira and his partner, Ana Silveira, who recently left a small village to venture into urban life in Porto — and there is no doubt they have been warmly welcomed. They both aim to share their experiences in the different cities where they have lived, including Germany (hence the name of the restaurant, meaning “grandmother” in German). The chef offers a style of cooking that blends local produce with modern techniques, imparting a personal flair. Here, a journey of flavours is guaranteed, beginning with Asia (a destination the chef hopes to explore) via one of the appetisers: a Chawanmushi with tuna and dashi. It then heads to Portugal, featuring National beef sirloin with roasted aubergine, bomba rice and wild mushrooms, and concludes in the Azores, with a dessert of pineapple, pink peppercorns and mascarpone.",70,"tasting €60-87 (""Viagem IDA e volta"" €87); executive lunch €16; pairing €40",thefork / michelin,https://www.google.com/maps/search/?api=1&query=OMA%2C%20Rua%20De%20Oliveira%20Monteiro%2C%20183%2C%20Porto%2C%204050-442%2C%20Portugal
Porto,Pátio 44,Bib Gourmand,,,,,,Traditional Cuisine,On a budget,1,"Passeio De São Lázaro, 44, Porto, 4000 508, Portugal",+351 910 524 754,,,https://guide.michelin.com/en/porto-region/porto/restaurant/patio-44,,Michelin,"A restaurant that pleasantly surprises, both for the skill and quality of its produce and for its unassuming façade. This venture, conceived by three friends who crossed paths behind the scenes during a previous project, is led by chef Simão Soares in the kitchen and focuses on traditional Portuguese cuisine, enriched with modern techniques and unique flavours. In a space that reflects the philosophy – simple, welcoming and unpretentious – a concise yet distinctive menu is presented, featuring standout dishes such as sweet potato with beetroot, beef liver served with potato mille-feuille, and the delicate rum and sultana dessert. The venue also features an outdoor terrace, perfect for sunny days and for enjoying one of the creative cocktails on offer!",27,avg €25-30; Michelin single-€ tier,thefork / enprimeurclub,https://www.google.com/maps/search/?api=1&query=P%C3%A1tio%2044%2C%20Passeio%20De%20S%C3%A3o%20L%C3%A1zaro%2C%2044%2C%20Porto%2C%204000%20508%2C%20Portugal
Porto,Almeja,Selected,,,,,,Contemporary,A moderate spend,2,"Rua Fernandes Tomás 819, Porto, 4000-219, Portugal",+351 22 203 8120,,,https://guide.michelin.com/en/porto-region/porto/restaurant/almeja,https://www.almejaporto.com/,Michelin,"It’s housed in a building that used to be a traditional coffee and tea shop on the outskirts of Bolhão (the place that gives its name to one of its executive menus). Chef João Cura, after gaining experience in prestigious restaurants in Spain, decided to embark on his own project alongside his wife, Sofia Amaral — who runs the dining room. The concept is grounded in seasonal cuisine and, before designing the menu, the freshest products are selected from local producers. Originality and flavour abound in the chef’s signature creations, which can be enjoyed as a 10-course tasting menu, the Bolhão and Trindade menus (available only on weekdays), or à la carte options. Enjoy the experience in the garden — it’s charming!",50,10-course tasting ~€55; avg €45; weekday Bolhão/Trindade menus cheaper,thefork / portugalconfidential,https://www.google.com/maps/search/?api=1&query=Almeja%2C%20Rua%20Fernandes%20Tom%C3%A1s%20819%2C%20Porto%2C%204000-219%2C%20Portugal
Porto,Apego,Selected,,,,,,Creative,A moderate spend,2,"Rua de Santa Catarina 1198, Porto, 4000-457, Portugal",+351 937 172 342,,,https://guide.michelin.com/en/porto-region/porto/restaurant/apego,https://apegorestaurante.com/,Michelin,"Allow yourself to be won over by this small bistro, a little away from the city centre yet with a welcoming atmosphere, endowed with special charm and singular décor. Here, the talented Chef Aurora Goy pays homage to her Luso-French roots and explores unique flavours through refined techniques, enhancing both taste and presentation. The offering comprises two tasting menus, Apego (“Attachment”) – 5 courses – and Desapego (“Detachment”) – 7 courses – essentially based on vegetables from local producers. A recommendation? Add to your experience the hake ravioli, prawn crudo, miso aubergine and bisque, and the 70 % Costa Rican chocolate with yuzu, kumquat and bacon ice cream… you certainly won’t regret it!",75,"Apego 5-course €65; ""Desapego"" 7-course €90; pairing €35; avg €80",apegorestaurante.com / thefork,https://www.google.com/maps/search/?api=1&query=Apego%2C%20Rua%20de%20Santa%20Catarina%201198%2C%20Porto%2C%204000-457%2C%20Portugal
Porto,Atrevo,Selected,,,,,,Contemporary,A moderate spend,2,"Rua de Morgado de Mateus 51, Porto, 4000-334, Portugal",+351 934 214 652,,,https://guide.michelin.com/en/porto-region/porto/restaurant/atrevo,https://atrevorestaurante.com/,Michelin,"The name says almost everything; however, if you still have doubts, there is nothing better to clarify its philosophy than the words of chef Rita Magro herself, who leads the project: “Nothing is too bold for those who dare to try everything”. Indeed, after being recognised with the MICHELIN Young Chef Award 2024 (when she was chef Vítor Matos’s right-hand at Blind), we see that… Rita Magro is now flying solo! The venue, rather compact, unfolds across three clearly distinct spaces: a front room with a support counter, a small room at the back and, lastly, the kitchen, fitted with a Japanese-style counter where you can also sit to watch her work up close. The offering, with à la carte service (we really enjoyed her Cachaço de bacalhau (salt-cod collar), açorda (bread-and-garlic mash, tomato, yolk & coriander) and a tasting menu (Atrevido, with 6 courses ), is the work of a contemporary kitchen that exalts Portugal’s culinary essence while incorporating a few fusion touches.",55,Menu Atrevido 6-course €65; à la carte avg €35,thefork / michelin,https://www.google.com/maps/search/?api=1&query=Atrevo%2C%20Rua%20de%20Morgado%20de%20Mateus%2051%2C%20Porto%2C%204000-334%2C%20Portugal
Porto,Bistrô Severo,Selected,,,,,,Traditional Cuisine,A moderate spend,2,"Rua De Ricardo Severo 141, Porto, 4050-515, Portugal",+351 22 967 7000,,,https://guide.michelin.com/en/porto-region/porto/restaurant/bistro-severo,https://www.palacetesevero.com/,Michelin,"If you are seeking a small oasis of tranquillity in the city for a meal, there is an excellent option at Palacete Severo, a welcoming boutique hotel that houses both this restaurant and the gastronomic Éon. Taken together, it reflects chef Tiago Bonito’s more informal proposal, set in a pleasant interior courtyard with a panoramic glass roof, walls beautifully decorated with Portuguese tiles and a lovely fountain to one side. The proposal, which champions traditional cooking with dishes such as Amêijoas à “Bulhão Pato” (clams in a garlic-and-coriander sauce) or Paletilha de cordeiro de leite (suckling lamb shank), is complemented by an enticing executive lunch menu (you may choose between 2 or 3 courses).",45,NO PRICE PUBLISHED - estimated from Michelin €€ band; 2 or 3-course executive lunch,ESTIMATE (michelin / palacetesevero.com),https://www.google.com/maps/search/?api=1&query=Bistr%C3%B4%20Severo%2C%20Rua%20De%20Ricardo%20Severo%20141%2C%20Porto%2C%204050-515%2C%20Portugal
Porto,Camilo,Selected,,,,,,Contemporary,Special occasion,3,"Rua do Almada, 378, Porto, 4050-033, Portugal",+351 915 299 442,,,https://guide.michelin.com/en/porto-region/porto/restaurant/camilo,https://restaurante-camilo.pt/pt/home,Michelin,"This building was the backdrop to one of the most emblematic novels of Portuguese literature, as it was here that the writer Camilo Castelo Branco would meet his beloved Ana Plácido. In this establishment, spread over two storeys and with an open kitchen visible from the entrance, chef Diogo Coimbra presents contemporary cuisine with international influences, devised from national produce and placing fire and embers centre stage. Its concise menu features specialities such as Peixe curado (cured fish) accompanied by ikura roe and wakame seaweed and the succulent Magre de pato (duck magret) served in various forms according to the season… even with truffle. Alongside each dish on the menu, you will find a wine suggestion to pair with your choice!",45,avg €35; reports €50+ pp dinner; wine by glass €9,restaurante-camilo.pt / thefork,https://www.google.com/maps/search/?api=1&query=Camilo%2C%20Rua%20do%20Almada%2C%20378%2C%20Porto%2C%204050-033%2C%20Portugal
Porto,Cozinha das Flores,Selected,,,,,,Modern Cuisine,Special occasion,3,"Largo São Domingos 62, Porto, 4050-545, Portugal",+351 22 976 0001,,,https://guide.michelin.com/en/porto-region/porto/restaurant/cozinha-das-flores,https://cozinhadasflores.com/,Michelin,"Set within the luxurious boutique hotel The Largo, on the emblematic Largo de São Domingos, this restaurant pays homage to northern flavours, uniting tradition and innovation. With renowned chef Nuno Mendes at the helm, this welcoming space is a true spur to conviviality, thanks to its vibrant, intimate atmosphere around the open kitchen, where fire is the protagonist. From the tables, turned towards this culinary stage, it is possible to follow the preparation of a menu that favours seasonal ingredients, with dishes such as the Pastel de Nata (salgado) [a savoury take on the custard tart] with turnip cream and caviar, the Arroz caldoso do Sado (soupy rice) with blue lobster from Matosinhos—a fine option to share—and the surprising dessert Leite [a milk‑themed dessert], crafted from this ingredient in different textures—extremely light, delicate and packed with flavour!",45,avg €41; 3-course lunch €35,thefork / cozinhadasflores.com,https://www.google.com/maps/search/?api=1&query=Cozinha%20das%20Flores%2C%20Largo%20S%C3%A3o%20Domingos%2062%2C%20Porto%2C%204050-545%2C%20Portugal
Porto,Elemento,Selected,,,,,yes,Modern Cuisine,Special occasion,3,"Rua do Almada 51, Porto, 4050-036, Portugal",+351 22 492 8193,41.1465149,-8.6122347,https://guide.michelin.com/en/porto-region/porto/restaurant/elemento,https://elementoporto.com/,Michelin; Michelin wine list,"Chef Ricardo Dias Ferreira has unashamedly gone back to basics here, cooking exclusively over wood, to such an extent that he rarely uses the grill or oven. With his combination of traditional Portuguese cuisine, smoky flavours and modern touches, he offers à la carte options alongside an “8-moment” tasting menu, and his cuisine varies from day to day depending on the availability of ingredients from small-scale local producers. Allow yourself to be guided by recommendations from the interesting selection of Portuguese wines, and if you’re keen to enjoy the experience to the full, take a seat at the counter in front of the kitchen so you can watch the chefs in action at close quarters.",95,8-moment wood-fire tasting €95,elementoporto.com / thefork,https://www.google.com/maps/search/?api=1&query=Elemento%2C%20Rua%20do%20Almada%2051%2C%20Porto%2C%204050-036%2C%20Portugal
Porto,Fauno,Selected,,,,,,Contemporary,A moderate spend,2,"Rua Estreita de Lóios 5, Porto, 4050-244, Portugal",+351 22 319 5394,,,https://guide.michelin.com/en/porto-region/porto/restaurant/fauno,https://faunorestaurante.pt/,Michelin,"Behind the retro-style green glass doors of this restaurant, set on one of the city’s narrow streets, you will find a unique culinary space, led by brothers Pedro Amorim (sommelier) and Tiago Amorim (chef), who are launching their first joint project here. The cuisine focuses on a single tasting menu, which continually evolves in line with the seasons and the availability of local producers’ ingredients, showcased in dishes characterised by flawless execution and refined taste. For an even more surprising experience, pair each dish with the intriguing wine selection — mostly natural wines!",65,7-course tasting €60-70; lunch €45; pairing €30-40,faunorestaurante.pt / thefork,https://www.google.com/maps/search/?api=1&query=Fauno%2C%20Rua%20Estreita%20de%20L%C3%B3ios%205%2C%20Porto%2C%204050-244%2C%20Portugal
