City,Name,Michelin_Award,Green_Star,Repsol_Award,Worlds_50_Best_Rank,Steak_101_Rank,Notable_Wine_List,Cuisine,Price,Price_Tier,Address,Phone,Latitude,Longitude,Michelin_Url,Website,Sources,Description
Lisbon,Belcanto,2 Stars,,,42,,yes,Creative,Spare no expense,4,"Rua Serpa Pinto 10A, Lisbon, 1200-026, Portugal",+351 21 342 0607,38.7104102,-9.1415741,https://guide.michelin.com/en/lisboa-region/lisboa/restaurant/belcanto,https://www.belcanto.pt/,Michelin; Michelin wine list; World's 50 Best,"Belcanto boasts a superb location in the Bairro Alto (Chiado) district popular with tourists, on a corner close to a former convent damaged by the large earthquake that devastated the city in 1755. In his culinary empire’s showcase gourmet restaurant, chef José Avillez offers a modern à la carte and a single tasting menu entitled Belcanto that takes guests on a journey of gastronomic discovery in a dining room divided into different spaces, alongside a chef’s table in the kitchen. Avillez explains that all his dishes are influenced by Lisbon’s different light, its maritime shoreline and its distinct districts: in the words of this celebrated chef, “cooking is our very own fado, and our own form of expression”. He recreates recipes that recall our childhood memories, such as the classic “sweet eggs and citrus” (doce de ovos e citrinos), which boasts a sublime delicacy and a truly special flavour. Interestingly, the napkin provided for dessert is in the shape of a sleeve, recalling the way the chef once wiped his mouth on his sleeve as a child!"
Lisbon,Fifty Seconds,2 Stars,,,,,yes,Creative,Spare no expense,4,"Cais das Naus, Lisbon, 1990-173, Portugal",+351 21 152 5380,38.7747556,-9.0911606,https://guide.michelin.com/en/lisboa-region/lisboa/restaurant/fifty-seconds,https://www.fiftysecondsexperience.com/,Michelin; Michelin wine list,"Have you ever enjoyed a meal 120 metres up? Enjoy this experience at the magnificent restaurant in the Torre Vasco da Gama, an emblematic building that stands out on Lisbon’s skyline. Access is via a lift that takes exactly 50 seconds to reach the top, hence the name of the establishment. At the helm is chef Rui Silvestre, with a long track record in renowned restaurants and known as the youngest chef to win a MICHELIN Star in Portugal. His creative proposal comes to life through a single menu, entitled “Fauna e Flora” (choose between 11, 12 or 14 courses), which takes seafood as its central axis, with a wonderful interplay of textures and flavour-packed garnishes. A fine example is the Polvo e beterraba (octopus and beetroot) dish, served with two sauces (one of yoghurt and herbs, the other masala-style). The chef masterfully incorporates distinct exotic spices that speak of his Mozambican and Indian roots!"
Lisbon,Henrique Sá Pessoa,2 Stars,,,,,,Creative,Spare no expense,4,"Travessa da Légua De Póvoa 11, Corpo 3, Bloco B, Loja L, Lisbon, 1250-138, Portugal",+351 21 838 4605,,,https://guide.michelin.com/en/lisboa-region/lisboa/restaurant/henrique-sa-pessoa,,Michelin,"Chef Henrique Sá Pessoa’s flagship, which has taken a new direction after changing both name and location (it used to be called Alma), elevates the culinary stage of the bucolic Páteo Bagatela, midway between Jardim das Amoreiras and Parque Eduardo VII.In this appealing establishment, which surprises with an open kitchen at the back of the main dining room and a small counter (for two diners) offering a slightly more exclusive experience, every detail has been carefully considered, blending a welcoming feel with artistic motifs that evoke the ocean. The culinary proposal, which above all seeks to offer freedom of choice, takes shape in a short à la carte menu and three tasting menus: Encontros, Clássicos and Costa a Costa. Here, the idea is to rethink Portuguese cooking, updating it in technique and presentation, with refined aperitifs and truly delicious dishes (do not miss the Presa à alentejana (Alentejo-style black-pork loin), massa de pimentão (red pepper paste), molho “Bulhão Pato” - garlic-and-coriander sauce)."
Lisbon,2Monkeys,1 Star,,,,,,Creative,Spare no expense,4,"Rua Câmara Pestana 23, Lisbon, 1150-082, Portugal",+351 21 826 2927,,,https://guide.michelin.com/en/lisboa-region/lisboa/restaurant/2monkeys,,Michelin,"There are some restaurants that exude positive energy – and this is, without a shadow of a doubt, one of them. The two monkeys after which it is named (and which are also depicted on the logo) refer, somewhat surprisingly, to the two chefs at the helm (Vítor Matos and Guilherme Spalk) and their approach to their work – at the same time as offering a high-quality culinary experience, they are also keen to entertain and have fun! This unique space, occupying the former wine cellar at the luxury Torel Palace Lisboa hotel, recreates, in stunning wood, the concept of a theatrical dining experience for just 12 guests built around a central island that provides the setting for the open kitchen. On the single, creatively focused menu, which includes some French-inspired details, guests can explore flavours from around Portugal (we particularly enjoyed the onion chawanmushi and the violet shrimp). The chefs interact constantly with their guests, who are not restricted to a fixed time schedule, enabling them to manage their own experience in more relaxed fashion."
Lisbon,CURA,1 Star,,,,,yes,Modern Cuisine,Spare no expense,4,"Rua Rodrigo da Fonseca 88, Lisbon, 1099-039, Portugal",+351 21 381 1401,38.7257479,-9.155379,https://guide.michelin.com/en/lisboa-region/lisboa/restaurant/cura,https://m.fourseasons.com/pt/lisbon/dining/restaurants/cura/,Michelin; Michelin wine list,"We find ourselves in the gourmet space of the Four Seasons Hotel Ritz Lisbon, a luxurious and emblematic hotel that nevertheless allows the restaurant to assert its own identity, with a separate entrance. The establishment, which adopts the word “curadoria” (“curators who care for art”) as its name, has Chef Rodolfo Lavrador at the stoves and boasts an open kitchen where a modern, audacious and balanced cuisine is championed—considered creations with surprising technical command. The offering conveys Chef Rodolfo’s view of his culinary path between past and present, so two tasting menus are presented: the first, named Percurso (“Path”), pays homage to Portuguese recipes reinterpreted with contemporary techniques; the second, entitled Passo (“Step”), is an experience that underscores the evolution and the steps the chef has taken throughout his career. Both versions can be vegetarian!"
Lisbon,Encanto,1 Star,,,,,,Vegetarian,Special occasion,3,"Largo De São Carlos 10, Lisbon, 1200 410, Portugal",+351 21 162 6310,,,https://guide.michelin.com/en/lisboa-region/lisboa/restaurant/encanto,,Michelin,"Chef José Avillez is one of the leading figures on the Portuguese gastronomic scene, who continues to enhance his legend through hard work and diversification across his restaurants. This small but welcoming venue, next door to his award-winning Belcanto, surprises both for its contemporary aesthetic (with an original library adorning both walls and joining at the ceiling) and for its culinary approach, creatively focused entirely on working with seasonal, organic, locally sourced vegetables — though that by no means prevents the dishes from being technical, tasty, and texturally spot-on. After ringing the bell at the entrance, you are shown to your table and presented with a unique, 100% vegetarian tasting menu exploring concepts such as zero waste, always well matched by a list of biodynamic wines, craft beers, and in-house kombuchas... One of the dishes we liked most was the autumn vegetable stew / fig leaf!"
Lisbon,EPUR,1 Star,,,,,,Creative,Spare no expense,4,"Largo da Academia Nacional de Belas Artes 14, Lisbon, 1200-005, Portugal",+351 21 346 0519,,,https://guide.michelin.com/en/lisboa-region/lisboa/restaurant/epur,,Michelin,"A culinary enclave well worth considering in the historic Chiado district, which toys with Newton’s law of universal gravitation to create its own ""Gravitational Taste"" concept. Here, behind the robust façade of an old building, you’ll find an informal, more modern interior that includes an open-view kitchen and dining rooms lit in a contemporary, minimalist fashion. Enjoy superb views across the Tagus estuary to a backdrop of geometrically shaped ceilings and azulejo panels which are a silent testament to the past but which add appropriate character and personality.The creative cooking on display is highly visual yet at the same time elegant, pure and with a strong focus on vegetables. French chef Vincent Farges follows the thinking of Leonardo da Vinci in his defence of ""simplicity and maximum sophistication"", focusing on the essentials to elevate the dining experience via two tasting menus: Inspirações (8 courses) and Epurismo (10 courses)."
Lisbon,Feitoria,1 Star,,,,,yes,Modern Cuisine,Spare no expense,4,"Doca do Bom Sucesso, Lisbon, 1400-038, Portugal",+351 21 040 0208,38.6936647,-9.2129467,https://guide.michelin.com/en/lisboa-region/lisboa/restaurant/feitoria,https://www.restaurantefeitoria.com/,Michelin; Michelin wine list,"If you’re wandering around the city’s historic sights, such as the Monument to the Discoveries and the Belém Tower, make sure you also pay a visit to this charming restaurant. With a backdrop ambience that combines the classic and modern, this space exudes personality and elegance, as well as boasting an exquisite bar at the entrance with views of the Tagus. Taking a seat at one of its tables is an invitation to embark on a journey across the traditional flavours of Portugal through dishes that combine high-level technique and top-quality ingredients. Under the baton of chef André Cruz, the menu has been created with an emphasis on seasonal produce, most of which are from local suppliers, as is reflected on the Semente menu, which comes in four different versions: Leaf, Roots, and two vegetarian options. Classic Portuguese dishes have been enhanced with a touch of sophistication, such as the “Sea Stew” (Cozido do Mar), featuring fish, a selection of bivalves and local vegetables, or the typical convent-inspired Sericaia dessert from the Alentejo, made with eggs and served with honey and native herbs."
Lisbon,Grenache,1 Star,,,,,,French Contemporary,Spare no expense,4,"Pátio de Dom Fradique 12, Lisbon, 1100-624, Portugal",+351 21 887 1616,,,https://guide.michelin.com/en/lisboa-region/lisboa/restaurant/grenache,,Michelin,"Fancy taking your taste buds on a trip to France? This delightful restaurant in historic Alfama, tucked away in the peaceful Pátio de Dom Fradique (next to the Palácio dos Condes de Belmonte), is run by Chef Philippe Gelfi who, staying true to his origins, serves up contemporary cuisine with French roots, where elegance and technique unite with flavour, working diligently with ingredients based on the finest local seasonal produce. It might be interesting to explore his tasting menus (Grenache and Experience) at the tables alongside the kitchen, where you can watch the cooks, all elegantly attired in their classic “toque blanche” working tirelessly under the chef’s guidance. The terrace, brimming with romance, is a great option if you are looking for a special dinner and the weather permits!"
Lisbon,Kabuki Lisboa,1 Star,,,,,,Japanese,Special occasion,3,"Rua Castilho 77B, Lisbon, 1070-050, Portugal",+351 21 249 1683,,,https://guide.michelin.com/en/lisboa-region/lisboa/restaurant/kabuki-lisboa,,Michelin,"Located in the renowned Galerias Ritz at the Four Seasons Hotel Ritz Lisbon, Kabuki Lisboa was the first of the group’s ventures outside Spain. This is no minor undertaking given the close relationship the Portuguese have always had with the sea, and the fact that they were the first to establish contact with Japan! The space extends across three floors and boasts a sophisticated contemporary ambience that combines art and fine dining. On the lower floor, guests can enjoy cocktails, liqueurs as well as an “executive” menu; the main dining room is home to a sushi bar (sashimi, usuzukuri, nigiris, makis etc) decorated with a striking mural illustrating the five key tenets of Japanese philosophy: Earth, Water, Fire, Wind and Void; while the brightly illuminated top floor floor offers a menu option (lunch only) dedicated to a different ingredient every day. Japanese-Mediterranean cuisine based around the very best Portuguese ingredients."
