Type,Award,Name,Locality,Edition
Restaurant,Garfo de Platina,Belcanto,Lisboa,2026
Restaurant,Garfo de Platina,Casa de Chá da Boa Nova,Matosinhos,2026
Restaurant,Garfo de Platina,Ocean,Lagoa,2026
Restaurant,Garfo de Platina,The Yeatman,Vila Nova de Gaia,2026
Restaurant,Garfo de Platina,Vista Restaurante,Portimão,2026
Restaurant,Garfo de Ouro,A Cozinha por António Loureiro,Guimarães,2026
Restaurant,Garfo de Ouro,Antiqvvm,Porto,2026
Restaurant,Garfo de Ouro,Euskalduna Studio,Porto,2026
Restaurant,Garfo de Ouro,Feitoria,Lisboa,2026
Restaurant,Garfo de Ouro,Fifty Seconds,Lisboa,2026
Restaurant,Garfo de Ouro,Fortaleza do Guincho,Cascais,2026
Restaurant,Garfo de Ouro,G Restaurante,Bragança,2026
Restaurant,Garfo de Ouro,Il Gallo d'Oro,Funchal,2026
Restaurant,Garfo de Ouro,JNcQUOI Avenida,Lisboa,2026
Restaurant,Garfo de Ouro,Mesa de Lemos,Viseu,2026
Restaurant,Garfo de Ouro,Ó Balcão,Santarém,2026
Restaurant,Garfo de Ouro,Pedro Lemos,Porto,2026
Restaurant,Garfo de Ouro,Solar dos Presuntos,Lisboa,2026
Restaurant,Garfo de Ouro,Vila Joya,Albufeira,2026
Restaurant,Garfo de Prata,3 Pipos,Tondela,2026
Restaurant,Garfo de Prata,A Carvalheira,Ponte de Lima,2026
Restaurant,Garfo de Prata,A Cozinha do Paço,Évora,2026
Restaurant,Garfo de Prata,A Lúria,Tomar,2026
Restaurant,Garfo de Prata,Alameda Restaurante,Faro,2026
Restaurant,Garfo de Prata,Canalha,Lisboa,2026
Restaurant,Garfo de Prata,Casinha Velha,Leiria,2026
Restaurant,Garfo de Prata,Cozinha da Terra,Paredes,2026
Restaurant,Garfo de Prata,Cozinha das Flores,Porto,2026
Restaurant,Garfo de Prata,Desarma,Funchal,2026
Restaurant,Garfo de Prata,Garagem 33,Vila Verde,2026
Restaurant,Garfo de Prata,Loco,Lisboa,2026
Restaurant,Garfo de Prata,Maré – José Avillez,Cascais,2026
Restaurant,Garfo de Prata,Marlene,Lisboa,2026
Restaurant,Garfo de Prata,Nunes Real Marisqueira,Lisboa,2026
Restaurant,Garfo de Prata,O Forno de Jales,Vila Real,2026
Restaurant,Garfo de Prata,O Gaveto,Matosinhos,2026
Restaurant,Garfo de Prata,Rei dos Leitões,Mealhada,2026
Restaurant,Garfo de Prata,Restaurante Noélia,Tavira,2026
Restaurant,Garfo de Prata,S. Gião,Guimarães,2026
Accommodation,Chave de Platina,Areias do Seixo,Torres Vedras,2026
Accommodation,Chave de Platina,Herdade da Malhadinha Nova,Beja,2026
Accommodation,Chave de Platina,São Lourenço do Barrocal,Reguengos de Monsaraz,2026
Accommodation,Chave de Platina,Six Senses Douro Valley,Lamego,2026
Accommodation,Chave de Ouro,Quinta da Comporta,Grândola,2026
Accommodation,Chave de Ouro,Ritz Four Seasons Hotel Lisboa,Lisboa,2026
Accommodation,Chave de Ouro,Sublime Comporta,Grândola,2026
Accommodation,Chave de Ouro,The Reserve,Funchal,2026
Accommodation,Chave de Ouro,The Yeatman,Vila Nova de Gaia,2026
Accommodation,Chave de Ouro,Torre de Palma Wine Hotel,Monforte,2026
Accommodation,Chave de Ouro,Vila Vita Parc,Lagoa,2026
Accommodation,Chave de Prata,Bairro Alto Hotel,Lisboa,2026
Accommodation,Chave de Prata,Bela Vista Hotel & Spa,Portimão,2026
Accommodation,Chave de Prata,Casa de São Lourenço,Manteigas,2026
Accommodation,Chave de Prata,Casas do Côro,Mêda,2026
Accommodation,Chave de Prata,Herdade do Sobroso,Vidigueira,2026
Accommodation,Chave de Prata,Luz Houses,Ourém,2026
Accommodation,Chave de Prata,Monverde – Wine Experience Hotel,Amarante,2026
Accommodation,Chave de Prata,Octant Hotels Douro,Castelo de Paiva,2026
Accommodation,Chave de Prata,Tivoli Kopke Porto Gaia,Vila Nova de Gaia,2026
Accommodation,Chave de Prata,Torel Quinta da Vacaria,Peso da Régua,2026
Accommodation,Chave de Prata,VentozeLo Hotel & Quinta,São João da Pesqueira,2026
Special award,Chef do Ano,Vítor Matos,"Antiqvvm, Porto",2026
Special award,Prémio Carreira,Alexandre Marto Pereira,—,2026
