City,Name,Michelin_Award,Green_Star,Repsol_Award,Worlds_50_Best_Rank,Steak_101_Rank,Notable_Wine_List,Cuisine,Price,Price_Tier,Address,Phone,Latitude,Longitude,Sources,Description,Avg_Price_EUR,Price_Detail,Price_Source,Maps_Url
Lisbon,Canalha,Bib Gourmand,,,,,,Farm to table,A moderate spend,2,"Rua da Junqueira 207, Lisbon, 1300-338, Portugal",+351 962 152 742,,,Michelin,"Chef João Rodrigues’s concept, located in a residential area, harks back to the neighbourhood restaurants of the past, yet retains the essence of a bistro. Sitting at the counter and watching the kitchen bustle contributes to a relaxed and vibrant atmosphere. Here, the focus is on the products — displayed in a showcase at the entrance — prepared simply, offered at accessible prices, and presented in a sharing format. A blackboard displays the daily lunch specials and, in addition, an appealing menu. Whether it’s the succulent open prawn omelette with onion, the iconic squid dish with sheep’s butter, or the simple yet authentic peach served with eggnog and creamy pistachio ice cream, one thing is certain — it does not disappoint!",35,avg €35; Michelin €€; blackboard daily specials,thefork / michelin,https://www.google.com/maps/search/?api=1&query=Canalha%2C%20Rua%20da%20Junqueira%20207%2C%20Lisbon%2C%201300-338%2C%20Portugal
Lisbon,Carnal,Bib Gourmand,,,,,,Mexican,A moderate spend,2,"Rua da Misericordia 78, Lisbon, 1200 273, Portugal",+351 913 463 232,,,Michelin,"(Provisionally, services are being provided at Largo da Trindade, 9) This lively, centrally located restaurant quickly gained popularity for being owned by the well-known Chef Ljubomir Stanisic (head of the 100 Maneiras group). It describes itself as a Mexican gastrobar and is one of those casual places that entices your taste buds. The dishes, generally quite well-balanced, are designed for a modern and informal ambience, with subtle nods to Mexican culture, striking the right harmony of flavour and heat in each creation. On the menu, featuring typical antojitos, tostadas, gringas and the famous tacos (don’t miss the tacos al pastor or the cauliflower tacos), you’ll also find bolder or more daring options like guacamole with insects or chicharrón (both dishes include larvae and crickets). Be sure to try one of their tequila cocktails!",45,Michelin €€; reports €50+ pp dinner,thefork / michelin,https://www.google.com/maps/search/?api=1&query=Carnal%2C%20Rua%20da%20Misericordia%2078%2C%20Lisbon%2C%201200%20273%2C%20Portugal
Lisbon,Ofício - Wine & Dining Room,Bib Gourmand,,,,,,Traditional Cuisine,A moderate spend,2,"Rua Nova da Trindade 11, Lisbon, 1200-301, Portugal",+351 910 456 440,,,Michelin,"This restaurant, located in the heart of Chiado and close to the Jesuit church of São Roque, was born under the philosophy of a contemporary taberna (tavern), however… it is now taking a new path! The starting point is the recreation of Portuguese recipes in the light of current knowledge, always respecting the product and its origins, but without setting limits. The chef at the helm, Maurício Varela, champions a fluid proposal that seeks balance between cold and hot cooking, with constant references to the memory of Portuguese cuisine, spanning from traditional churrasco (barbecue) to conservas (preserves), as well as escabeches and smoked preparations. For them, in pursuit of a living offering, proximity and freshness of raw materials are fundamental to the creative process.",45,sharing plates €10-18; ~€90 pp with wine,thefork / portugalconfidential,https://www.google.com/maps/search/?api=1&query=Of%C3%ADcio%20-%20Wine%20%26%20Dining%20Room%2C%20Rua%20Nova%20da%20Trindade%2011%2C%20Lisbon%2C%201200-301%2C%20Portugal
Lisbon,Pigmeu,Bib Gourmand,,,,,,Portuguese,A moderate spend,2,"Rua do 4 De Infantaria 68, Lisbon, 1350-274, Portugal",+351 21 825 2990,,,Michelin,"A few metres north of the leafy Jardim da Parada, in Lisbon’s Campo de Ourique district, there is a very simple restaurant where… the cooking and character matter far more than comfort! Everything revolves around pork (which partly explains the name of the place), a product that Chef Miguel Azevedo Peres and his executive chef Alexandre Ballarin uses in its entirety, from snout to tail. On the menu, you will find the house classics, such as Torresmo do Rissol (crispy pork crackling), Croquetes do Pigmeu (Pigmeu croquettes), and the popular Bifana Porcalhona (a hearty pork sandwich), along with some delicious offal dishes that you simply must try.",42,€40-45 pp; set lunch €17; small plates from €4.80,michelin / enprimeurclub,https://www.google.com/maps/search/?api=1&query=Pigmeu%2C%20Rua%20do%204%20De%20Infantaria%2068%2C%20Lisbon%2C%201350-274%2C%20Portugal
Lisbon,Zunzum Gastrobar,Bib Gourmand,,,,,,Contemporary,A moderate spend,2,"Avenida Infante D. Henrique. Doca do Jardim do Tabaco, Lisbon, 1100-651, Portugal",+351 915 507 870,,,Michelin,"In this elegant restaurant full of light, set in a modern, fully glazed building near the Lisbon Cruise Terminal (opposite the intriguing Museu do Lactário), the famous Chef Marlene Vieira makes a case for a top-notch contemporary concept, always grounded in the traditional Portuguese culinary repertoire, yet open to inspiration from other cuisines around the globe. It is surprising both due to its interior décor, dominated by white and red tones, and its pleasant terrace overlooking the Tagus. Interesting dishes? Algarve pink prawns with seaweed and lemon butter; Alentejo pork chop with fried polenta and roasted pepper ketchup; creamy shellfish and coriander rice...",45,avg €45,thefork / zunzum.pt,https://www.google.com/maps/search/?api=1&query=Zunzum%20Gastrobar%2C%20Avenida%20Infante%20D.%20Henrique.%20Doca%20do%20Jardim%20do%20Tabaco%2C%20Lisbon%2C%201100-651%2C%20Portugal
Lisbon,100 Maneiras,Selected,,,,,,Creative,Spare no expense,4,"Rua do Teixeira 39, Lisbon, 1200-459, Portugal",+351 910 918 181,,,Michelin,"The culinary concept behind 100 Maneiras is one of absolute freedom – one that constantly takes risks and seeks to provoke a strong reaction and to leave a lasting mark with guests, often via ingredients referred to as ""from the future"" or that are little known.Everything here revolves around chef Ljubomir Stanisic, a native of Sarajevo (Bosnia-Herzegovina), who arrived in Portugal in his late-teens following the war in his country, healing the wounds of his soul by devoting himself to cooking. His different tasting menus The Story, Echoes of 100 (vegetarian) and Lunch Short Story (served exclusively for lunch on Fridays and Saturdays), are based around innovative cuisine with a constant nod (both physical and emotional) to his origins, although influences from his adopted homeland and further afield are also evident. His more traditional starters and desserts also have an interesting twist given that he used to make these with his mother!",160,"The Story 17 moments €160; ""Short Story"" €130; vegetarian ""Echoes of 100"" €125",100maneiras.com / theworlds50best,https://www.google.com/maps/search/?api=1&query=100%20Maneiras%2C%20Rua%20do%20Teixeira%2039%2C%20Lisbon%2C%201200-459%2C%20Portugal
Lisbon,BAHR,Selected,,,,,,Portuguese,Special occasion,3,"Praça Luís De Camões 2, Lisbon, 1200-243, Portugal",+351 21 340 8253,,,Michelin,"Located on the top floor of the Bairro Alto Hotel (hence the origin of its name) and featuring a kitchen that opens onto the dining room, BAHR describes itself as a “bohemian and irreverent space”. At lunchtime it offers a much more informal market-inspired “executive menu”, with more elaborate, exclusively à la carte dishes in the evening, but all featuring the very best ingredients.",55,"Michelin €€€; evening à la carte; informal lunch ""executive menu"" (items €15-18.50)",bahr.pt / michelin,https://www.google.com/maps/search/?api=1&query=BAHR%2C%20Pra%C3%A7a%20Lu%C3%ADs%20De%20Cam%C3%B5es%202%2C%20Lisbon%2C%201200-243%2C%20Portugal
Lisbon,JNĉQUOI Fish,Selected,,,,,,Seafood,Spare no expense,4,"Av. da Liberdade, 189, Lisbon, 1250-096, Portugal",+351 21 593 1000,,,Michelin,"It is located in the small, luxurious JNĉQUOI House hotel and shares its address with the more gastronomic proposal of the award-winning chef Filipe Carvalho, JNĉQUOI Table, both led by him. As the name suggests, the proposal revolves around the maritime world and backs a broad variety of fish and seafood, displayed as soon as you enter in an appealing showcase. In a spacious Mediterranean-styled setting with a glass-walled kitchen at the back, where you can watch the sizeable team in action, the offering is exclusively à la carte and includes grilled options, salt-baked dishes, and wood-fired preparations… Dishes not to miss? Carabineiro (scarlet prawn) with creamy lemon rice, his Fatiado de peixe (sliced fish) with caviar, ginger and fine herbs, and, for dessert, Pão de leite no forno (oven-baked milk bread) with crème anglaise and cream cheese.",69,"avg €69; à la carte only, fish by weight",thefork / michelin,https://www.google.com/maps/search/?api=1&query=JN%C4%89QUOI%20Fish%2C%20Av.%20da%20Liberdade%2C%20189%2C%20Lisbon%2C%201250-096%2C%20Portugal
Lisbon,O Frade,Selected,,,,,,Regional Cuisine,A moderate spend,2,"Calçada da Ajuda 14, Lisbon, 1300-006, Portugal",+351 939 482 939,,,Michelin,"This small corner establishment, located by the impressive Museu Nacional dos Coches (with royal carriages from the 16th to 19th centuries), is certainly charming, as it recreates something of the typical atmosphere of Alentejo taverns, with simple decorative details alluding to the process of making the famous “vinho da talha,” a historical wine produced in large clay amphorae following Roman tradition, now a regional classic. Inside, with a U-shaped counter surrounded by stools, they offer a small menu of traditional Alentejo dishes, such as razor clams in a garlic and wine sauce (à bulhão pato) or Frade-style duck rice — many dishes are prepared by the chef right before your eyes!",32,avg €25-35; small Alentejo menu,thefork / mesprestiges,https://www.google.com/maps/search/?api=1&query=O%20Frade%2C%20Cal%C3%A7ada%20da%20Ajuda%2014%2C%20Lisbon%2C%201300-006%2C%20Portugal
Lisbon,O Talho,Selected,,,,,,Meats and Grills,Special occasion,3,"Rua Carlos Testa 1, Lisbon, 1050-046, Portugal",+351 21 315 4105,,,Michelin,"Entering a restaurant through a butcher’s shop (“talho” in Portuguese) provides a clue as to the focus here and is a guarantee that the meat quality will be high and that it comes directly from the source! And it is in this modern yet at the same time informal space that chef Kiko offers his unique cuisine to guests through superb dishes prepared in an exceptional way. Meat-lovers can savour irresistible choices such as picanha from Uruguay, Galician 60-day dry aged T-bone, and A5 Kobe flank, considered one of the world’s best cuts of meat. Meat can also be purchased to be cooked at home.",55,"Michelin €€€; tartare €29.80, oxtail €31.20, croquettes €9.80",otalho.com / tripadvisor,https://www.google.com/maps/search/?api=1&query=O%20Talho%2C%20Rua%20Carlos%20Testa%201%2C%20Lisbon%2C%201050-046%2C%20Portugal
