Rank,Name,Location,DetailUrl,Website,Description,Price_Tier
1,Maido,Lima,https://www.theworlds50best.com/the-list/maido.html,https://www.maido.pe/,"Welcome! The elegant restaurant led by chef Mitsuharu ‘Micha’ Tsumura takes its name from a Japanese phrase used to greet people: maido. It’s the first thing diners will hear from Tsumura’s team when stepping into the space. Japan meets Peru: The chef-restaurateur’s ancestors landed in Peru from Japan in 1889 and Tsumura was born in Lima. He then completed a culinary arts programme in the US and made the trip to Osaka to specialise in Japanese cuisine. In 2009, he opened Maido in Lima, where he combines Japanese techniques and Peruvian ingredients into Nikkei cuisine. Some 15 years later, the menu may have diversified, but the philosophy remains the same: serving the best local ingredients changing every season. The Maido experience: The tasting menu features more than 10 courses and may include delicacies like The Triple, a combination of avocado, eggs, tomato and chashu (braised pork belly); caracoles al sillao (soy sauce), sea snails, with yellow chilli foam and Nikkei sauce; squid ramen with Amazonian chorizo, duck dumpling, nigiri and more. An a la carte menu is also available, filled with seasonal products and a catch of the day. In 2024, the restaurant celebrated 15 years with a Maido Experience menu which celebrated the past, present and future.",4
2,Asador Etxebarri,Atxondo,https://www.theworlds50best.com/the-list/Asador-Etxebarri.html,https://www.asadoretxebarri.com/,"What’s the deal? Set in a peaceful Basque village surrounded by mountains and lush greenery somewhere between Bilbao and San Sebastian, Asador Etxebarri is the platonic ideal of a destination restaurant. Food enthusiasts travel from all over the world to experience the culinary masterpieces created by chef Bittor Arguinzoniz. With the help of a little fire, he transforms simple ingredients like milk and beef into extraordinary and unforgettable dishes. Kissed by fire: In a small kitchen filled with custom-made grills designed by the chef, Arguinzoniz prepares a series of elegant dishes where the ingredient is king. There is no molecular gastronomy here, as the chef prefers to let the natural flavours of the high-quality produce take centre stage. Everything on the menu is touched by the grill, from anchovy on toast to the milk ice cream with beetroot that ends the meal. Take for instance, a succulent red Palamós prawn simply grilled and served on its own, or the fresh mozzarella from the chef's buffalo served with a juicy tomato slice. What should I order? While locals may plump for the a la carte, the tasting menu is the best way to enjoy everything Etxebarri has to offer. Over 14 courses eaten in the spacious dining room overlooking the village square, guests enjoy Arguinzoniz’s homemade chorizo and seasonal delicacies like baby eels and sea cucumber with green beans. The star of the show is a charcoal-charred beef chop – it may look impossibly large, but its impossibly tender texture and extraordinary flavour mean the plate is almost always sent back clean.",4
3,Quintonil,Mexico City,https://www.theworlds50best.com/the-list/quintonil.html,https://quintonil.com/,"Avant-garde Mexican: Quintonil is the setting for chef Jorge Vallejo’s boundary-pushing Mexican cuisine and his wife Alejandra Flores’ exceptional hospitality. Focused on fresh, local ingredients and traditional Mexican flavours and techniques weaved into modern preparations, it is fast becoming a classic. Herbaceous medleys: Named after a green herb that features in some of the dishes and drinks, Quintonil brings a unique brand of creativity to the plate. The tasting menu might contain seasonal dishes such as tamales of duck pibil with elote cream, braised oxtail in traditional black recado sauce, crème fraîche with melipona honey or prickly pear sorbet. Many of the ingredients travel just 30 metres from urban garden to plate. Take a seat: Grab a pew at the counter seating area that serves a shorter menu including insect-based tacos with grasshoppers and chicatana ants, and a view into the open kitchen. The main dining space is split into two sections, a cosy entrance area and a light and bright room filled with Mexican art.",4
4,Diverxo,Madrid,https://www.theworlds50best.com/the-list/diverxo.html,https://diverxo.com/,"In a nutshell: Hedonistic. Creative. Unpredictable. Three words to describe chef Dabiz Muñoz and the Madrid pleasure-dome that is Diverxo, where he likes to push the gastronomic boundaries as much as possible. More than a restaurant, Diverxo is an easel for the chef’s creativity, with diners brought along for the ride of their lives. What you’ll eat: Diverxo’s tasting menu stretches out over many courses of pure theatre, and may include anything from pigeon and sherry to multi-flavoured mochi. Expect unique combinations with Asian influences such as Pyrenean-matured nigiri, Japanese paella or roasted caviar with vindaloo curry and Greek yoghurt. Chef CV: Muñoz's culinary journey began in Madrid, inspired by chef Abraham García of Viridiana, where his family used to dine when he was a child. He started his career in Spain’s capital before moving to London to work at top Asian and Italian restaurants such as Hakkasan, Nobu, Nahm and Locanda Locatelli. In 2007, he returned to Spain and opened Diverxo, which earned him three Michelin stars by the age of 33, making him the second-youngest person in the world to achieve such a feat. In 2012, he opened Streetxo, a more casual restaurant, and in 2022, he launched Ravioxo, which specialises in intricate dumplings and Asian-influenced pasta. In 2024, he opened a new branch of Streetxo in Dubai, and there are plans to move Diverxo to a larger space in 2025.",4
5,Alchemist,Copenhagen,https://www.theworlds50best.com/the-list/alchemist.html,https://alchemist.dk/,"Getting there: Alchemist is located in Refshaleøen, a relatively remote part of Copenhagen known for its industrial buildings and a famous former shipyard. You have to go to the very end of the stretch before you get to the two-tonne-heavy bronze doors with decorations reminiscent of Narnia or Middle-Earth, which lead you into the mystical world of Alchemist. Wait for a few moments and they automatically swing open. Let the show begin! What should I expect? Be prepared for a journey unlike any meal you’ve had before. There are no courses, only ‘impressions’ – 50 of them, actually – divided into several ‘acts’ that takes guests through different locations, types of art and extraordinary craftsmanship over a seven-hour, multi-sensory odyssey. It’s the realisation of head chef and mastermind Rasmus Munk’s dream of a holistic and meaningful dining experience. Tell me more: You will be dining under a dome-shaped roof with various graphic sceneries that change throughout the dinner, but the prime reason it all works is because Alchemist’s cuisine is rooted in a strong foundation of classic techniques, modern research and Chef Munk’s obsessive search for the best ingredients. Expect ‘Space Bread’ canapés topped with caviar, the best seafood and pigeon aged in beeswax, just to mention a few delicacies – always presented in creative ways that will impress, as well as bring out your inner child.",4
6,Gaggan,Bangkok,https://www.theworlds50best.com/the-list/gaggan.html,http://gaggananand.com/,"Drumming up experience: Kolkata-born Gaggan Anand pursued music professionally before starting his culinary career. From a trainee position at the luxury hotel chain Taj Group, he progressed to work at El Bulli in Spain alongside Ferran Adrià, an experience that instilled in him a love for molecular gastronomy. He founded his first restaurant in Bangkok, Gaggan, in 2010, which has been named The Best Restaurant in Asia for the fifth time. And then? Gaggan closed in August 2019 and a few months later, the former drummer opened its new incarnation: Gaggan Anand. The chef is on a mission to push boundaries, seeking to create “a culinary adventure of the senses and a roller coaster ride of emotions”. The same irreverent philosophy shines through the restaurant’s digital channels, the chef’s hilarious sense of humour and the out-of-the-box presentation of the dishes. In 2024, the restaurant reverted to its previous name, Gaggan. Creativity as a main: Music, colours and creativity combine on the menu, which is anchored in progressive Indian, with French, Thai and Japanese influences. From using emojis to represent each of the courses to pushing diners to eat with their hands or even lick the plate, Anand wants to disrupt and reinvent the traditional fine-dining experience.",4
7,Sézanne,Tokyo,https://www.theworlds50best.com/the-list/sezanne.html,https://www.sezanne.tokyo/,"Need to know: To dine at Sézanne is to experience the epitome of culinary sophistication. Opened in July 2021 on the seventh floor of the Four Seasons Hotel Tokyo at Marunouchi with British chef Daniel Calvert at the helm, it immediately wowed diners with its immersive neo-French style infused with meaningful tributes to Asia’s rich culinary cultures. The experience: Walk through the buzzy Maronouchi Bistro – whose menu is also curated by Calvert – to reach the doors of Sézanne’s elegant dining room, designed by Hong Kong artist André Fu. Large windows afford it plenty of natural light; later, Tokyo’s skyline swoops in to provide a mesmerising nightscape. Each of the comfortable seats enjoys a view of the glass-walled kitchen, from which your culinary wonders will emerge. Tell me about the menu: Chef Calvert’s cooking, while firmly rooted in a neo-French ethos, is enriched by his experiences across Asia. It’s in the unique combinations resulting from these encounters that his style stands out. The 12-course tasting menu features the likes of bouillabaisse with saffron from the Saga Prefecture, and fugu from the Yamaguchi Prefecture cooked on the bone with fugu shirako (pufferfish milt) and roasted kegani sauce (horsehair crab).",4
8,Table by Bruno Verjus,Paris,https://www.theworlds50best.com/the-list/table-by-bruno-verjus.html,https://table.paris/,"A chef of many hats: Bruno Verjus, Table’s 65-year-old chef-patron, doesn’t only look a little like the grinning Cheshire Cat from Alice in Wonderland, but also had many lives before opening his restaurant a decade ago: medical student, entrepreneur in China, photographer, author, radio commentator, even food critic. His motto? “Our food choices shape our world.” What’s it like inside? Table (pronounced in the French way) features a long counter designed like a wave that creates private nooks, plus an open kitchen. You can follow every gesture, see every plating, including the Colours of the Day – a daily changing dish of the most seasonal herbs and vegetables – and witness how Verjus serves line-caught monkfish torched with bay leaves, or prepares  a donburi dish with blonde lentils with pig’s ear in a crab broth. Signature dish? Imagine a tartlet topped with melted dark chocolate from Peru mixed with caper-infused cream. Add some Ossetra caviar on top… et voila! And make sure to devour the mellow homemade madeleine, which is even better dipped in Kardamili olive oil, as suggested.",4
9,Kjolle,Lima,https://www.theworlds50best.com/the-list/kjolle.html,https://kjolle.com/,"Tasting the rainbow: Pía León rose to fame as the head chef of Central, which was named The World’s Best Restaurant in 2023. But in 2018, she felt the need to express her culinary vision in an independent way. Kjolle is her first solo restaurant, where she zeros in on Peru’s vibrant pantry and lets her gastronomic instincts run wild. Simple, but not easy: At Kjolle, León strives to preserve natural flavours – her dishes show a high level of research and testing, but the produce is always recognisable and never overly manipulated. This process, however, is far from easy: León and the team spend months researching the best ways to use each part of the ingredient to create the least possible amount of waste, while maximising flavour and adding unexpected elements. Image, taste and context: Painting with colours as well as flavours is part of Kjolle’s DNA, and a meal here is sure to fill up your camera roll with photos of dishes that are as beautiful as they are delicious. ‘Context’ completes León’s culinary philosophy, exemplified in unique pieces of ceramics, glassware and interior design the chef curates alongside local artists and artisans from across Peru.",4
10,Don Julio,Buenos Aires,https://www.theworlds50best.com/the-list/don.html,https://www.parrilladonjulio.com/,"Meet Don Julio: A family-run labour of love, an homage to the flavours and terroirs of Argentina, a temple of regenerative farming – Don Julio is all this and more. Some 25 years after owner-sommelier Pablo Rivero opened his neighbourhood steakhouse on a corner of Palermo, he is still serving some of the best beef cuts, local wines and authentic Argentine hospitality you can find anywhere. Homemade philosophy: Nearly everything you can find on Don Julio’s menu comes from the restaurant’s own farm outside of Buenos Aires. Grilled seasonal vegetables – such as organic asparagus, peppers and courgette – are a popular choice, as is the restaurant’s famous heirloom tomato salad. The juicy servings of Aberdeen Angus and Hereford cattle haven’t only been farmed according to regenerative practices, but are also butchered and aged entirely in-house. What about the menu? Choosing from the extensive list may feel like taking a beef anatomy masterclass, but whatever you choose – the thick rib-eye, a giant T-bone, the house-favourite skirt steak, or the famous spiral sausage – the combination of smokiness, nuttiness and sweetness in the meat will blow your socks off.",4
