name_ko,name_en,category,district,price,description
고귀관,Gogwigwan,Korean,Gangseo-gu,"₩15,000","Juicy meat grilled at your table, with great-value set menus."
흑마루돈돈,Heungmaru Dondon,Korean,Gangseo-gu,"₩10,000",A Jirisan black-pork specialist whose daily house-boiled herbal jokbal is a treat.
다금정,Dageumjeong,Korean,Gangseo-gu,"₩11,000",Near Gimhae Airport — a hearty Korean meal for before or after your trip.
시골추어탕,Sigol Chueotang,Korean,Gangseo-gu,"₩9,000",Country-home-style chueotang (loach soup) with a rich broth.
부산식당 한식뷔페,Busan Sikdang Hansik Bwipe,Korean,Gangseo-gu,"₩7,000",An all-you-can-eat Korean buffet with great value.
옥이감자탕,Ogi Gamjatang,Korean,Gangseo-gu,"₩25,000",Spicy yet clean gamjatang (pork-bone potato stew) fragrant with perilla.
복오네,Bogone,Korean,Gangseo-gu,"₩10,000","A satisfying spot when you crave a clean, refreshing, light broth."
뒷고기 상회,Dwitgogi Sanghoe,Korean,Gangseo-gu,"₩7,000",A must-stop for the umami and chew of pork.
송스베이커리,Songseu Beikeori,Café & Bakery,Geumjeong-gu,"₩1,800","A renowned bakery — salt bread limited to 10 per person, plus great-value mini cakes."
유림정,Yurimjeong,Korean,Geumjeong-gu,"₩28,000",By Hoedong Reservoir — beef that melts in your mouth.
북문국수,Bukmun Guksu,Korean,Geumjeong-gu,"₩5,000",The country-style noodle house that comes to mind at the mention of Geumjeong Mountain Fortress.
가마실,Gamasil,Other,Geumjeong-gu,"₩7,000",Savory beef of excellent quality for the price.
따신밥,Ttasinbap,Korean,Geumjeong-gu,"₩6,000","Warm, filling dolsot-bap (hot stone-pot rice) on Pusan National University's main street."
국수가,Guksuga,Korean,Geumjeong-gu,"₩6,000",A long-standing noodle house with homestyle taste and great value.
강명장요리가,Gangmyeongjang Yoriga,Japanese,Geumjeong-gu,"₩20,000",Unquestionable quality from a Korean master chef — a Japanese restaurant you'll want to revisit.
가마솥생복집,Gamasot Saengbokjip,Korean,Gijang-gun,"₩13,000",A pufferfish-soup house known for tidy side dishes and local recommendations.
일광바다횟집,Ilgwang Bada Hoetjip,Seafood,Gijang-gun,"₩15,000",Fresh ingredients and tasty anchovy ssambap with a sea view — expect a wait!
한양횟집,Hanyang Hoetjip,Seafood,Gijang-gun,"₩50,000",An ocean-view sashimi spot with undeniable freshness and a range of flavors.
해녀조씨할매집,Haenyeo Jossi Halmaejip,Other,Gijang-gun,"₩12,000",A Gijang haenyeo-village spot for varied fresh seafood and the best abalone porridge.
청기와 식육식당,Cheonggiwa Sigyuk Sikdang,Korean,Gijang-gun,"₩28,000",A long-established Gijang Cheolma beef spot that needs no introduction.
나누리생선구이,Nanuri Saengseongui,Korean,Gijang-gun,"₩13,000",Grilled-fish set meals with tidy side dishes — just like home cooking.
구름고개카페,Gureumgogae Kape,Café & Bakery,Nam-gu,"₩6,000",A go-to healing spot on Hwangnyeongsan mountain with a stunning view.
강원도물회,Gangwon-do Mulhoe,Seafood,Nam-gu,"₩16,000",A neighborhood favorite for fresh sashimi and well-priced mulhoe (cold raw-fish soup).
지밀레니얼,Jimillenieol,Café & Bakery,Nam-gu,"₩5,000",A Busan must-visit for ARMY from around the world — the hotspot run by BTS Jimin's father.
좋은집,Joeunjip,Western,Dong-gu,"₩3,900",Quality meat with a salad bar and a kids' playroom — great for family dining.
명가,Myeongga,Korean,Dong-gu,"₩7,000","Deep, rich, and local-approved gamjatang (pork-bone potato stew)!"
감포참가자미,Gampo Chamgajami,Seafood,Dong-gu,"₩20,000","For chewy, delicious flatfish (chamgajami) sashimi, nowhere beats this place!"
