City,Name,Michelin_Award,Green_Star,Repsol_Award,Worlds_50_Best_Rank,Steak_101_Rank,Notable_Wine_List,Cuisine,Price,Price_Tier,Address,Phone,Latitude,Longitude,Michelin_Url,Website,Sources,Description
Barcelona,ABaC,3 Stars,,3 Soles,,,yes,Creative,Spare no expense,4,"Avenida del Tibidabo 1, Barcelona, 08022, Spain",+34 933 19 66 00,41.4104497,2.1365112,https://guide.michelin.com/en/catalunya/barcelona/restaurant/abac,https://abacrestaurant.com,Michelin; Michelin wine list; Guia Repsol,"Tradition, cutting-edge, flavour, attitude and passion, along with a consistent approach, define to perfection the cooking of Jordi Cruz. In his elegant restaurant boasting views of a tranquil garden dotted with some amazing works of contemporary art, he offers diners a unique gastronomic experience that constantly evolves in line with ingredients from the changing seasons. These are always combined with his technical ability as he revisits Catalan and other Mediterranean flavours with a nod to influences from elsewhere around the globe. The experience here, which begins with appetisers in the kitchen, is centred around a single tasting menu featuring new recipes alongside the restaurant’s renowned signature dishes. One of the most extraordinary dishes is the Aqua Mirabilis dessert, an original tribute to Johann Maria Farina, who, in 1709, founded the oldest perfume factory in the world. This course, which plays with different textures, allows you to taste a scent through a wonderful sensory game."
Barcelona,Cocina Hermanos Torres,3 Stars,,3 Soles,78,,yes,Creative,Spare no expense,4,"Taquígraf Serra 20, Barcelona, 08029, Spain",+34 934 10 00 20,41.3865273,2.1400168,https://guide.michelin.com/en/catalunya/barcelona/restaurant/cocina-hermanos-torres,https://www.cocinahermanostorres.com,Michelin; Michelin wine list; Guia Repsol; World's 50 Best,"Once over the threshold, a fascinating experience awaits at Cocina Hermanos Torres – one that transports guests to a world where time has stood still thanks to the magical setting and highly delicate Mediterranean cuisine that takes us away from our everyday lives. The Torres twins (Sergio and Javier) dreamt of incorporating their culinary microcosmos into the heart of the dining room, transforming the culinary experience into a true spectacle, hence the three cooking stations that dominate the centre of the room, around which tables are arranged beneath romantic “clouds” of light. The cuisine here is centred on a superb menu that invites guests on a gourmet journey extolling the very best seasonal and local ingredients, using them in such a way to extract maximum impact and flavour with a minimum of intervention. This includes standout dishes such as the cured squid with poultry consommé and caviar – a spectacular “sea and mountains” combination. The magnificent wine cellar here is overseen by no fewer than five sommeliers! If you wish to book a table for one you’ll need to contact the restaurant ahead of time."
Barcelona,Disfrutar,3 Stars,,3 Soles,,,yes,Creative,€€€€,4,"Villarroel 163, Barcelona, 08036, Spain",+34933486896,41.3879756,2.1530369,https://guide.michelin.com/en/catalunya/barcelona/restaurant/disfrutar,https://www.disfrutarbarcelona.com/,Michelin wine list; Guia Repsol,"This restaurant, which always has a waiting list, is characterised by the inventive spirit of the three chefs at the helm (Eduard Xatruch, Oriol Castro and Mateu Casañas) who have made creativity their watchword – clearly their time working alongside Ferran Adrià at El Bulli made a real impression! What's so special about this place? Firstly, the food itself is highly innovative, with the chefs playing with shapes, textures and flavours and exhibiting indisputable craftsmanship. In addition, a constant stream of innovations emerges from their laboratory, such as their “solid bubbles” or, even more remarkably, a “living table” that changes as the meal progresses (the latter experience is by prior reservation only). Choose between two tasting menus: Classic, featuring the restaurant’s signature dishes (such as the multi-spherical pesto with smoked eel and pistachios); and Festival, which showcases its latest seasonal creations and has strong roots with the local area. A choice of superb wine pairings are also available, plus some incredible flavoured spirits, such as those with wasabi and sea urchin."
Barcelona,Lasarte,3 Stars,,3 Soles,,,yes,Creative,Spare no expense,4,"Mallorca 259, Barcelona, 08008, Spain",+34 934 45 32 42,41.3936278,2.1622018,https://guide.michelin.com/en/catalunya/barcelona/restaurant/lasarte,https://www.restaurantlasarte.com/,Michelin; Michelin wine list; Guia Repsol,"It's unusual to find spin-offs that manage to live up to the standards set by the original, but that is exactly what has happened in this incredible restaurant, named after the town in which legendary chef Martín Berasategui built his culinary empire.Here, Paolo Casagrande, the protégé of this San Sebastián culinary maestro, puts his own spin on exquisite dishes first conceived by his mentor, showcasing them in a more avant-garde setting (undulating ceilings that mimic waves, ethereal lamps that resemble jellyfish, golden tones, etc.). The menu, created by both chefs, with à la carte and set menu options, is heightened when you choose Il Milione, a private, unique experience independent of the main dining room (by reservation only, from 2 to 8 diners, in the former Chef's Table) designed to guide the senses towards excellence in a gastronomic journey through ingredients, technique and creativity (inspired by the famous ‘Book of Wonders’ that recounted Marco Polo's travels)."
Barcelona,Aleia,2 Stars,,1 Sol,,,,Creative,Spare no expense,4,"Paseo de Gràcia 132, Barcelona, 08008, Spain",+34 935 02 00 41,,,https://guide.michelin.com/en/catalunya/barcelona/restaurant/aleia,,Michelin; Guia Repsol,"A dual experience that fuses haute cuisine and architecture? You'll find few more interesting options, as this restaurant is located on the first floor of the famous Casa Fuster (now Hotel Casa Fuster), a jewel of Catalan Modernisme designed in the early 20th century by Lluís Domènech i Montaner. In its luminous and elegant dining room, with large columns flanking the incredible window and an undulating ceiling that reminds us of the titanium plates of the Guggenheim Museum in Bilbao, you can enjoy a unique tasting menu with a contemporary-creative style, with the option of food and wine pairings. Jerez-born chef Rafa de Bedoya, always under the guidance of the award-winning Paulo Airaudo (Amelia by Paulo Airaudo, in Donostia-San Sebastián), brings coherence and flavour based on local, seasonal products. Outstanding dishes? We loved the Garrucha red prawns with piriñaca and the spectacular scallop with cava and Figueres onion soubise. A truly excellent selection of wines, all served by the glass!"
Barcelona,Cinc Sentits,2 Stars,,2 Soles,,,,Contemporary,Spare no expense,4,"Entença 60, Barcelona, 08015, Spain",+34 933 23 94 90,,,https://guide.michelin.com/en/catalunya/barcelona/restaurant/cinc-sentits,,Michelin; Guia Repsol,"This enchanting restaurant has been designed to enhance the dining experience through different spaces that reflect the family roots and the culinary influences of chef Jordi Artal: the home-made vermouth and appetisers that welcome guests to the Faifó; the move from La Torre de l'Espanyol (Tarragona) to cosmopolitan Barcelona that is explained in the dining room; the Biblioteca Viva (Living Library) where they display jars of fermented products, garums, kombuchas... and, of course, the exclusive space set aside for the “chef's table” overlooking the kitchen. The cuisine here is this self-taught chef’s personal take on modern Catalan cuisine, which he bases around working with trusted small-scale producers and showcases ingredients with a strong Catalan DNA. Everything revolves around two delicate tasting menus: Light and Tasting (the comprehensive selection of wines and food pairings is complemented by a range of non-alcoholic pairing options)."
Barcelona,Enigma,2 Stars,,2 Soles,34,,yes,Creative,Spare no expense,4,"Sepúlveda 38, Barcelona, 08015, Spain",+34 616 69 63 22,41.3768726,2.1541799,https://guide.michelin.com/en/catalunya/barcelona/restaurant/enigma,https://www.enigmaconcept.es/,Michelin; Michelin wine list; Guia Repsol; World's 50 Best,"This is a remarkable and truly unique restaurant; it simply has to be, it stands as the heir to the legendary elBulli, combining technical excellence with a constant search for astonishment in the diner. The discreet façade hides a fantastical interior where originality is combined with the most radical design, as the striking ceilings seem to be suspended and, as a whole, it is reminiscent of... a futuristic cold room! Chef Albert Adrià presents a unique seasonal tasting menu, of about 25 courses (you can find out about the dishes and their ingredients before or after tasting them) in which he displays all his knowledge, with many of his visual elaborations finished before the customer's eyes so that we are aware of the innumerable techniques, some almost magical, that they are capable of employing. They divide the experience into various sections: Almonds, Anchovies, Vegetable Garden, Mushrooms, Cheeses... or the one they call 'Gamba' (Prawn), with its marvellous dish El ciclo de la vida (The Cycle of Life). Book well in advance!"
Barcelona,Enoteca Paco Pérez,2 Stars,,2 Soles,,,yes,Modern Cuisine,Spare no expense,4,"Marina 19, Barcelona, 08005, Spain",+34 934 83 81 08,41.386878,2.1969349,https://guide.michelin.com/en/catalunya/barcelona/restaurant/enoteca204150,https://enotecapacoperez.com,Michelin; Michelin wine list; Guia Repsol,"Located in the luxurious Hotel Arts and overseen by award-winning chef Paco Pérez, this restaurant serves highly nuanced Mediterranean cuisine that is enriched with international influences and the occasional nod to Asian fusion cooking. The governing principles in the kitchen are underpinned by an utmost respect for seasonal ingredients and a clear goal to elevate traditional dining concepts such as “sea and mountains”. To highlight this, the chef particularly enjoys cooking with sea cucumbers from the Mar d'Amunt and produce from vegetable gardens close to it, hence their special hint of salinity. If we were to attempt to find a concept or premise to help us define this restaurant we would have to focus on its bright interior, its meticulous design dominated by different white tones and, above all, its obsession with local ingredients to help tell a story. One standout dish that we particularly enjoyed was the Green peas, its silky sauce and baby shrimp, a brilliant example of how to make the most of different textures."
Barcelona,Mont Bar,2 Stars,,1 Sol,,,,Creative,Special occasion,3,"Diputació 220, Barcelona, 08001, Spain",+34 933 23 95 90,,,https://guide.michelin.com/en/catalunya/barcelona/restaurant/mont-bar,,Michelin; Guia Repsol,"A restaurant with a gastro-bar ambience that is becoming a must for every foodie in Barcelona. In this delightful setting featuring elegant decorative detail, you’ll find an array of traditional and contemporary dishes, all of which showcase high levels of technique, plus presentation that is so refined that it is hard not to take a photo! In keeping with the philosophy of the owners, who hail from the small village of Mont (in the Val d’Aran), the cuisine here is based around fresh, seasonal and locally sourced ingredients. The à la carte (you have to order a minimum of three snacks and two main courses) features inventive snacks, innovative tapas, and small sharing plates, always accompanied by impeccable and attentive service. We particularly enjoyed the superb seasonal suggestions (morel mushrooms, Reixago cheese and pork cheek, peas with vanilla, clams and hazelnuts, etc) but there are also dishes available all year round that are a must, such as the spectacular Iberian sobrasada mochi with Mahón cheese. For a more complete experience, try their Classic and Mont set menus!"
Barcelona,Alkimia,1 Star,,3 Soles,,,yes,Modern Cuisine,Spare no expense,4,"Ronda San Antoni 41 - Principal, Barcelona, 08011, Spain",+34 932 07 61 15,41.3826841,2.1635878,https://guide.michelin.com/en/catalunya/barcelona/restaurant/alkimia,https://alkimia.cat/,Michelin; Michelin wine list; Guia Repsol,"Alkimia has a somewhat surprising location inside the Moritz beer factory, which has been redesigned as a gourmet complex. Once you’ve rung the bell to get in, on the first floor you’ll find two different spaces (the bistro-style Alkostat and the Alkimia restaurant itself, in front of the kitchen), both featuring attractive designer details, avant-garde references to the marine world, alongside reclaimed classical furnishings that recall the interiors of Barcelona’s former aristocratic mansions. In the gastronomic dining room, chef Jordi Vilà conjures up fresh, contemporary cuisine which is deeply rooted in Catalan tradition and has a strong focus on fish. He offers just a single tasting menu entitled Catalan Cuisine Table, divided into six sections, each of which features a good selection of dishes. We thoroughly enjoyed the maritime version of the Escudella soup, as well as the exquisite squid with egg yolk and galangal root."
