City,Name,Michelin_Award,Green_Star,Repsol_Award,Worlds_50_Best_Rank,Steak_101_Rank,Notable_Wine_List,Cuisine,Price,Price_Tier,Address,Phone,Latitude,Longitude,Sources,Description,Avg_Price_EUR,Price_Detail,Price_Source,Maps_Url
Barcelona,Avenir,Bib Gourmand,,,,,,Contemporary,A moderate spend,2,"Carrer de l'Avenir 72, Barcelona, 08021, Spain",+34 691 90 71 38,,,Michelin,"In this simple establishment, reminiscent of a charming taberna, it is impossible to leave disappointed due to the friendliness of its service and a philosophy that focuses on the fine detail of its cuisine. It is run by its two owners (Roger Viñas and Chesco Salrach) who, as fate would have it, became friends at their children’s school and decided to embark on this venture together with the former working in the kitchen, and the latter in the dining room. Here they champion contemporary cuisine, with nods to both the sea and the mountains, where different techniques, good textures and a great mastery of broths can be appreciated. The menu, with options for pescatarians and open to sharing, focuses on three tasting menus: Tastets de l'Avenir (set lunch menu, only on weekdays), La Barra de l'Avenir (15 courses) and another, more complete, called L'Avenir (19 courses). We loved their Seda-Setas-Escabeche, their Catalan interpretation of Mochi!",35,weekday lunch €32.95; pescatarian menu €82.50; avg €35,thefork / avenir.restaurant,https://www.google.com/maps/search/?api=1&query=Avenir%2C%20Carrer%20de%20l%27Avenir%2072%2C%20Barcelona%2C%2008021%2C%20Spain
Barcelona,Bacaro,Bib Gourmand,,,,,,Italian,A moderate spend,2,"Jerusalem 6, Barcelona, 08001, Spain",+34 931 15 66 79,,,Michelin,"This restaurant, steeped in the essence of Italy but which the team describes as a “Venetian taberna”, is located just a few steps from the emblematic Boquería market, and is one of those places you look forward to visiting given the caring and kindness in evidence as soon as you walk through the door. Bistro in style, and split between two floors, it boasts an eclectic yet simple decor, the idea being not to interfere too much with what is really important, namely the food! The latter is clearly rooted in Italian tradition, with a continual emphasis on flavour. You’ll find pasta here, of course, but don’t miss the typical sardines “in saor”, the Venetian-style veal liver, or the marvellous tiramisù. As you would expect, the wine list includes some classic Italian labels.",35,avg €30-35; €30-40 pp dinner,thefork / restaurantguru,https://www.google.com/maps/search/?api=1&query=Bacaro%2C%20Jerusalem%206%2C%20Barcelona%2C%2008001%2C%20Spain
Barcelona,Bardeni-Caldeni,Bib Gourmand,,,,,,Meats and Grills,A moderate spend,2,"Valencia 454, Barcelona, 08013, Spain",932 32 58 11,,,Michelin,"A ‘meat bar’ where meats are the great and unmistakable stars of the show. It is especially surprising for its old butcher's shop aesthetics, with a bar where you can also eat. Chef Dani Lechuga presents a menu where the Angus steak tartare stands out, Caldeni style, and you should always ask for the ‘Suggestions of the day’, as it is not unusual to find special cuts of veal to choose from. They offer half portions!",45,avg €45; tapas €4-12/item,thefork / bardeni.es,https://www.google.com/maps/search/?api=1&query=Bardeni-Caldeni%2C%20Valencia%20454%2C%20Barcelona%2C%2008013%2C%20Spain
Barcelona,Berbena,Bib Gourmand,,,,,,Creative,A moderate spend,2,"Minerva 6, Barcelona, 08006, Spain",+34 691 95 77 97,,,Michelin,"A diminutive, unpretentious and informal restaurant with a name that pays homage to the traditional “berbena” festivals. At the centre of everything here is Carles Pérez de Rozas Canut, whose focus is on simple yet well-though-out and highly captivating dishes (all available in half- and some even in quarter-portions) based around seasonal Mediterranean ingredients, but which also feature influences from Asia and South America. Personality in spades, with an open kitchen and enticing recipes that tell us lots about the chef, his travels and his work in other countries. His magnificent desserts add a final flourish at the end of your meal – the crème fraîche ice-cream with olive oil and salt is definitely one you won’t want to pass up on.",50,avg €40; recent reviews €60-80 pp,restaurantguru / tripadvisor,https://www.google.com/maps/search/?api=1&query=Berbena%2C%20Minerva%206%2C%20Barcelona%2C%2008006%2C%20Spain
Barcelona,Cruix,Bib Gourmand,,,,,,Contemporary,A moderate spend,2,"Entença 57, Barcelona, 08015, Spain",+34 935 25 23 18,,,Michelin,"Located in the Eixample district of Barcelona, near Plaça d'Espanya, this restaurant with an informal feel and exposed brick walls is the perfect setting in which to feel very much at home thanks to service that could not be any more friendly. The fun à la carte, with signature bites as well as both hot and cold dishes, is supported by two tasting menus: Petit Cruix (7 courses) and Cruix (10 courses). Here, chef Miquel Pardo’s superb sharing rice dishes are worthy of special mention (the paellas are all served with their special crispy ‘socarrat’ texture at the bottom of the pan!). One particularly interesting savoury dish is the cod churro which is fried to a crispy golden texture. For dessert, we recommend the unusually named ‘sad day on the beach’! In fine weather, try to book a table on the terrace.",58,10-course €58; 14-course €82,fodors / thefork,https://www.google.com/maps/search/?api=1&query=Cruix%2C%20Enten%C3%A7a%2057%2C%20Barcelona%2C%2008015%2C%20Spain
Barcelona,Glug,Bib Gourmand,,,,,,Creative,A moderate spend,2,"Viladomat 289, Barcelona, 08029, Spain",+34 747 74 79 29,,,Michelin,"If you’re on the lookout for a restaurant in the Eixample district of the city, this is a name you’ll definitely want to jot down. Located opposite the Sant Jordi swimming pool, Glug is much more than a hangout for foodies as wine also plays a prominent role here (hence its name). The couple in charge, chefs Iván Garcia and Beatrice Casella (the latter, a native of Turin, is responsible for the wonderful desserts), offer cuisine that is informal, does not follow any set rules, and is designed exclusively for enjoyment. The menu, featuring delicious dishes such as onion soup and “buttons” of Comté cheese, works with seasonal ingredients, combining aspects of Catalan and Italian cuisine in a highly interesting and creative way.",35,avg €35 (8 plates + wine); €30-50 pp,restaurantguru / foodieinbarcelona,https://www.google.com/maps/search/?api=1&query=Glug%2C%20Viladomat%20289%2C%20Barcelona%2C%2008029%2C%20Spain
Barcelona,Oníric,Bib Gourmand,,,,,,Fusion,A moderate spend,2,"Rabassa 37, Barcelona, 08024, Spain",+34 931 25 98 06,,,Michelin,"Under this name, which automatically takes us into the world of dreams, we have found one of those establishments that we would all like to visit; it illustrates that the most longed-for and unattainable projects can become reality. The tandem at the helm, with Jonatan Izquierdo behind the burners and Laura Humanes in charge of everything in the dining room, champions a proposal of modern cuisine built from common sense, with a small menu and three interesting menus: Herrén (executive-style, only at midday during the week), Oníric and Somni. One dish that we loved? The risky but convincing conger eel buñuelos, green curry, coconut and tamarind.",48,Herrén lunch €26; Oníric €48; Somni €80,thefork / enprimeurclub,https://www.google.com/maps/search/?api=1&query=On%C3%ADric%2C%20Rabassa%2037%2C%20Barcelona%2C%2008024%2C%20Spain
Barcelona,Saó,Bib Gourmand,,,,,,Creative,A moderate spend,2,"Cesare Cantù 2, Barcelona, 08023, Spain",+34 935 66 39 68,,,Michelin,"It is located in uptown Barcelona and its name is anything but trivial, because when translated into English (seasoning, ripeness, moment) it highlights ‘the point or maturity of things’. Juanen Benavent, the Valencian-born chef at the helm of the restaurant, puts his stamp on seasonal local produce to offer an up-to-date, creative cuisine with notable French influences, something that is all the more understandable after learning that he spent four years working at the Goust restaurant in Paris. What will you find? Three set menus (Llavor, Germinat and Arrels) and finger-licking dishes, such as his stunning savoury Crema Catalana, with aubergine at the base and caramelised foie gras topping.",60,midday set €24.50; avg €60; menus €25-75,thefork / bcnrestaurantes,https://www.google.com/maps/search/?api=1&query=Sa%C3%B3%2C%20Cesare%20Cant%C3%B9%202%2C%20Barcelona%2C%2008023%2C%20Spain
Barcelona,Amar Barcelona,Selected,,1 Sol,,,yes,Contemporary,Spare no expense,4,"Gran Via de les Corts Catalanes 668, Barcelona, 08010, Spain",+34 931 03 99 88,41.3913747,2.1714455,Michelin; Michelin wine list; Guia Repsol,"The Palace Barcelona’s in-house restaurant, overseen by chef Rafa Zafra, has a very strong attachment to both the Mediterranean and the city. On the menu you’ll find excellent oysters and caviar, superb fish priced by weight and perfect for sharing, traditional Catalan recipes, as well as the hotel’s signature dishes that pay homage to the Ritz, and a tasting menu (Amar Lentamente) that gives centre stage to the sea and the full bounty of its ingredients.",145,"tasting ""Amar Lentamente"" €145; lunch €55/€75/€95",hotelpalacebarcelona.com,https://www.google.com/maps/search/?api=1&query=Amar%20Barcelona%2C%20Gran%20Via%20de%20les%20Corts%20Catalanes%20668%2C%20Barcelona%2C%2008010%2C%20Spain
Barcelona,AÜC,Selected,,,,,,Regional Cuisine,On a budget,1,"Plaça del Camp 7, Barcelona, 08022, Spain",+34 931 51 14 62,,,Michelin,"Excellent chicken croquettes, tripe with calf’s head boasting a wonderful spicy touch, a tasty special section dedicated to macaroni (just like mama used to make)... This cosy restaurant in the heart of the Sant Gervasi neighbourhood is run by experienced catering professionals and champions traditional Catalan cuisine that takes diners back to the flavours of home, reflecting a mother or grandmother’s cuisine, while not shying away from some modern touches in some dishes. Here, above all, humble and local cuisine can be rediscovered.",35,€30-40 pp,restaurantguru,https://www.google.com/maps/search/?api=1&query=A%C3%9CC%2C%20Pla%C3%A7a%20del%20Camp%207%2C%20Barcelona%2C%2008022%2C%20Spain
