Name,Address,City,Tier,Price_EUR,Cuisine,Details
Avenir,"Carrer de l'Avenir 72, Barcelona, 08021, Spain",Barcelona,Bib Gourmand,35,Contemporary,weekday lunch €32.95; pescatarian menu €82.50; avg €35
Bacaro,"Jerusalem 6, Barcelona, 08001, Spain",Barcelona,Bib Gourmand,35,Italian,avg €30-35; €30-40 pp dinner
Bardeni-Caldeni,"Valencia 454, Barcelona, 08013, Spain",Barcelona,Bib Gourmand,45,Meats and Grills,avg €45; tapas €4-12/item
Berbena,"Minerva 6, Barcelona, 08006, Spain",Barcelona,Bib Gourmand,50,Creative,avg €40; recent reviews €60-80 pp
Cruix,"Entença 57, Barcelona, 08015, Spain",Barcelona,Bib Gourmand,58,Contemporary,10-course €58; 14-course €82
Glug,"Viladomat 289, Barcelona, 08029, Spain",Barcelona,Bib Gourmand,35,Creative,avg €35 (8 plates + wine); €30-50 pp
Oníric,"Rabassa 37, Barcelona, 08024, Spain",Barcelona,Bib Gourmand,48,Fusion,Herrén lunch €26; Oníric €48; Somni €80
Saó,"Cesare Cantù 2, Barcelona, 08023, Spain",Barcelona,Bib Gourmand,60,Creative,midday set €24.50; avg €60; menus €25-75
Amar Barcelona,"Gran Via de les Corts Catalanes 668, Barcelona, 08010, Spain",Barcelona,MICHELIN Selected,145,Contemporary,"tasting ""Amar Lentamente"" €145; lunch €55/€75/€95 · Repsol 1 Sol, notable wine list"
AÜC,"Plaça del Camp 7, Barcelona, 08022, Spain",Barcelona,MICHELIN Selected,35,Regional Cuisine,€30-40 pp
Batea,"Gran Via de Les Corts Catalanes 605, Barcelona, 08007, Spain",Barcelona,MICHELIN Selected,55,Seafood,avg €50-55 excl. drinks; some report €60-70
Besta,"Aribau 106, Barcelona, 08036, Spain",Barcelona,MICHELIN Selected,78,Farm to table,tasting 9-course €78; Festival 12-course €95 · Repsol 1 Sol
Can Bo,"Via Laietana 30, Barcelona, 08003, Spain",Barcelona,MICHELIN Selected,50,Modern Cuisine,chef's tasting menu ~€50; wine pairing min €25
Capet,"Cometa 5, Barcelona, 08002, Spain",Barcelona,MICHELIN Selected,75,Seasonal Cuisine,tasting €75 (5c) / €90 (8c); avg €70
Compartir Barcelona,"Valencia 225, Barcelona, 08007, Spain",Barcelona,MICHELIN Selected,100,Mediterranean Cuisine,avg €100; tasting from €115
Deliri,"Còrsega 242, Barcelona, 08036, Spain",Barcelona,MICHELIN Selected,60,Contemporary,avg €45; dinner reports €70-80 pp
DIREKTE,"París 200, Barcelona, 08008, Spain",Barcelona,MICHELIN Selected,82,Fusion,7-course €45 / 10-course €56; long menu €82; dinner €90-100 pp · Repsol 1 Sol
Dos Pebrots,"Doctor Dou 19, Barcelona, 08001, Spain",Barcelona,MICHELIN Selected,70,Mediterranean Cuisine,set menus €50 / €70 / €90; Festival €120; avg €80 · Repsol 1 Sol
Eldelmar - Hermanos Torres,"Moll del Gregal 3, Barcelona, 08005, Spain",Barcelona,MICHELIN Selected,75,Traditional Cuisine,à la carte €€€; ~€65-70 pp; fish by weight pushes higher · Repsol 1 Sol
Estimar,"Sant Antoni dels Sombrerers 3, Barcelona, 08003, Spain",Barcelona,MICHELIN Selected,100,Seafood,TheFork avg €120; other sources €80; prawns €75/plate · Repsol 2 Soles
L'Antiquari Gastronòmic,"Carrer de Neptú 4, Barcelona, 08006, Spain",Barcelona,MICHELIN Selected,75,Creative,"15-course ""Astronòmic"" €75; pairing €45"
La Forquilla,"Aragó 152, Barcelona, 08011, Spain",Barcelona,MICHELIN Selected,77,Creative,tasting €77 (earlier listings €49.50-62)
La Taverna del Clínic,"Rosselló 155, Barcelona, 08036, Spain",Barcelona,MICHELIN Selected,55,Traditional Cuisine,avg €50-60; tapas under €20 each · Repsol 1 Sol
Leña Barcelona,"Plaça de Pius XII 4, Barcelona, 08028, Spain",Barcelona,MICHELIN Selected,70,Meats and Grills,€70 pp grill menu; midday steak+fries €45; Experiencia Fuego €110 pp
Nairod,"Aribau 141, Barcelona, 08036, Spain",Barcelona,MICHELIN Selected,65,Farm to table,tasting €65; short menu €57; avg €65 · Repsol 1 Sol
Nectari,"València 28, Barcelona, 08015, Spain",Barcelona,MICHELIN Selected,86,Modern Cuisine,tasting €86; lunch menu €39 · Repsol 1 Sol
Osmosis,"Aribau 100, Barcelona, 08036, Spain",Barcelona,MICHELIN Selected,70,Creative,tasting €70 (5c) / €80 (7c); weekday lunch €25-28
Pur,"Passatge de la Concepció 11, Barcelona, 08008, Spain",Barcelona,MICHELIN Selected,130,Farm to table,Essence €129; Menu Especial €198; €100+ pp · Repsol 1 Sol
RíasKru,"Lleida 7, Barcelona, 08004, Spain",Barcelona,MICHELIN Selected,90,Seafood,"avg €70; tasting €125; ~€120 pp with wine · Repsol 1 Sol, notable wine list"
Solc,"Paseo de Gràcia 68, Barcelona, 08007, Spain",Barcelona,MICHELIN Selected,50,Mediterranean Cuisine,weekday tasting €35 (+€38 pairing); avg €50; €58 pp
Suculent,"Rambla del Raval 45, Barcelona, 08001, Spain",Barcelona,MICHELIN Selected,60,Contemporary,avg €45; set menus €70 / €90 · Repsol 1 Sol
Taberna Noroeste,"Radas 67, Barcelona, 08004, Spain",Barcelona,MICHELIN Selected,80,Contemporary,single surprise tasting menu €80; reports €90-100 pp
Ten's,"Avenida Marqués de l'Argentera 11, Barcelona, 08003, Spain",Barcelona,MICHELIN Selected,40,Modern Cuisine,avg €40; tapas €3.90-8 each; tasting €65
Tram-Tram,"Major de Sarrià 121, Barcelona, 08017, Spain",Barcelona,MICHELIN Selected,50,Contemporary,tasting €39; festival €70; lunch €30; avg €50 · Repsol 1 Sol
Tunateca Balfegó,"Avenida Diagonal 439, Barcelona, 08036, Spain",Barcelona,MICHELIN Selected,75,Fusion,avg €55 à la carte; tasting menus €95 / €117
Ultramarinos Marín,"Balmes 187, Barcelona, 08006, Spain",Barcelona,MICHELIN Selected,45,Farm to table,"listed avg €28; fish/meat by weight, reports up to €75 pp"
Virens,"Gran Via de Les Corts Catalanes 619, Barcelona, 08007, Spain",Barcelona,MICHELIN Selected,85,Contemporary,Tierra y Mar tasting €85; seasonal lunch menu cheaper
Windsor,"Còrsega 286, Barcelona, 08008, Spain",Barcelona,MICHELIN Selected,60,Modern Cuisine,"Barcelona Menu €55; Menú Catalunya €69; weekday €42; à la carte ~€70 · Repsol 1 Sol, notable wine list"
Xavier Pellicer,"Provença 310, Barcelona, 08037, Spain",Barcelona,MICHELIN Selected,85,Creative,tasting €79; 5-course €85; 8-course €105 · Repsol 2 Soles
