Name,City,Editions,Years,Listing_Type,Price_EUR,Price_Basis,Price_Detail
100 Maneiras,Lisboa,4,2019 2020 2021 2022,award winner,160,à la carte avg,"The Story 17 moments €160; ""Short Story"" €130; vegetarian ""Echoes of 100"" €125"
1300 Taberna,Lisboa,2,2016 2017,full guide listing,,,
A Cevicheria,Lisboa,5,2015 2016 2017 2018 2019,award winner,42,à la carte avg,"€35-50 pp; walk-in only, sharing; Kiko Martins"
Adega da Tia Matilde,Lisboa,2,2019 2020,award winner,,,
Al Garage,Lisboa,1,2018,full guide listing,,,
Alma,Lisboa,10,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,award winner,145,tasting menu,CLOSED end-2025 (Chiado); tasting was €145 +€80 pairing. Sá Pessoa reopened at Páteo Bagatela 2026: €140-220
Aqui Há Peixe,Lisboa,2,2016 2017,full guide listing,,,
Ararate,Lisboa,1,2019,full guide listing,,,
Bastardo,Lisboa,3,2015 2016 2017,award winner,,,
Belcanto,Lisboa,12,2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,award winner,295,tasting menu,Menu de Degustação Belcanto €295
Bistro 100 Maneiras,Lisboa,4,2016 2017 2018 2019,full guide listing,,,
Bistrô4,Lisboa,2,2016 2017,full guide listing,,,
Boi-Cavalo,Lisboa,5,2015 2016 2017 2018 2019,award winner,,,
Bonsai Restaurante Japonês,Lisboa,1,2017,full guide listing,,,
Café Garrett by Ohana,Lisboa,2,2017 2018,full guide listing,,,
Café Portugal,Lisboa,1,2017,full guide listing,,,
Café Príncipe Real,Lisboa,1,2017,full guide listing,,,
Café de São Bento,Lisboa,4,2016 2017 2018 2019,full guide listing,,,
Canalha,Lisboa,1,2024,award winner,35,à la carte avg,avg €35; Michelin €€; blackboard daily specials
Cantinho do Avillez,Lisboa,2,2016 2017,full guide listing,34,à la carte avg,avg €34 excl. drinks
Casa de Pasto,Lisboa,1,2016,full guide listing,,,
Cave 23,Lisboa,2,2016 2017,full guide listing,,,
Ceia,Lisboa,1,2019,full guide listing,,,
Cervejaria Liberdade,Lisboa,1,2017,full guide listing,,,
Cervejaria Ramiro,Lisboa,4,2016 2017 2018 2019,full guide listing,,,
Chapitô à Mesa,Lisboa,2,2016 2017,full guide listing,,,
Chutnify,Lisboa,2,2018 2019,full guide listing,,,
Come Prima,Lisboa,4,2016 2017 2018 2019,full guide listing,,,
Comida de Santo,Lisboa,1,2019,full guide listing,,,
Cura,Lisboa,3,2021 2022 2024,award winner,120,à la carte avg,Meia Cura 8-course €95; vegetarian €85; Origens 13-course higher
D'Bacalhau,Lisboa,1,2019,full guide listing,,,
Dom Feijão,Lisboa,1,2017,full guide listing,,,
DownUnder by Justin Jennings,Lisboa,1,2018,full guide listing,,,
EPUR,Lisboa,2,2019 2020,award winner,,,
Eleven,Lisboa,6,2014 2015 2016 2017 2018 2019,award winner,95,à la carte avg,avg €95; 2+2+cheese+dessert menu €68
Eneko Lisboa,Lisboa,1,2020,award winner,,,
Estórias na Casa da Comida,Lisboa,2,2016 2017,full guide listing,,,
Feitoria,Lisboa,9,2014 2015 2016 2017 2018 2019 2020 2022 2025,award winner,150,à la carte avg,tasting €150-180; vegetarian 6-moment €115; pairing €80; avg €135
Fifty Seconds,Lisboa,5,2019 2020 2021 2022 2023,award winner,205,tasting menu,"""Fauna e Flora"" €195 (10) / €215 (12) / €235 (14); avg €205"
Gambrinus,Lisboa,4,2016 2017 2018 2019,full guide listing,,,
Geographia,Lisboa,1,2019,full guide listing,,,
Il Mercato,Lisboa,1,2017,full guide listing,,,
Infame,Lisboa,1,2017,full guide listing,,,
JNcQUOI ASIA,Lisboa,1,2020,award winner,,,
JNcQUOI Avenida,Lisboa,8,2018 2019 2020 2021 2022 2023 2024 2025,award winner,85,à la carte avg,avg €50-100 pp depending on room (main vs DeliBar)
Jesus é Goês,Lisboa,1,2016,full guide listing,,,
Kanazawa,Lisboa,6,2016 2017 2018 2019 2023 2024,award winner,100,tasting menu,Oyama €60 / Kanazawa €90 / Miyazaki €100 / Tasting €150; lunch €35; avg €120
LOCO,Lisboa,10,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,award winner,160,à la carte avg,avg €160; 16-moment surprise menu; +0% pairing €220
Lapa,Lisboa,1,2016,full guide listing,,,
"Marlene,",Lisboa,3,2023 2024 2025,award winner,130,à la carte avg,Menu 9 Momentos €130; Menu 12 Momentos €170
Memória,Lisboa,1,2020,award winner,,,
Mesón Andaluz,Lisboa,4,2016 2017 2018 2019,full guide listing,,,
Mezze Portugal by Pão a Pão,Lisboa,2,2018 2019,full guide listing,,,
Miss Jappa,Lisboa,1,2017,full guide listing,,,
Mwana Pwo,Lisboa,1,2019,full guide listing,,,
Nunes Real Marisqueira,Lisboa,1,2025,award winner,55,à la carte avg,avg €35 listed; reports €60-90 pp; shellfish by weight
O Boteco,Lisboa,1,2020,award winner,,,
O Cantinho do Aziz,Lisboa,2,2018 2019,full guide listing,,,
O Magano,Lisboa,1,2019,full guide listing,,,
O Nobre,Lisboa,4,2016 2017 2018 2019,full guide listing,,,
O Talho,Lisboa,2,2014 2016,award winner,55,à la carte avg,"Michelin €€€; tartare €29.80, oxtail €31.20, croquettes €9.80"
